Location	Category
fishpond water	Animal
five ovaries	Animal
flatworm	Animal
flea	Animal
fruit bat held in captivity in quebec; canada and suffering from necrosis of its wing	Animal
homo sapiens	Animal
homogenate diseased silkworms	Animal
infant 1 dol 23 oral	Animal
infant 1 dol 23 skin	Animal
infant under 1 year of age; breastfeeding; had prelonged diarrhea	Animal
infected host blood	Animal
infected skin tissue	Animal
infected tooth root canal	Animal
infected wound from a dog bite	Animal
infective endocarditits	Animal
infraorbital sinuses	Animal
inner tissues of halophyte limonium sinense (girard) kuntze	Animal
insect	Animal
insect body	Animal
insect hemolymph	Animal
westalted hides	Animal
whale muscle	Animal
whiteflies bacteriome	Animal
whiting skin	Animal
whole bodies	Animal
whole body	Animal
whole body of armadillidium vulgare	Animal
whole body of porcellio scaber	Animal
whole body of the eusocial aphid; ceratovacuna japonica strain nosy1	Animal
whole body of tylos granuliferus	Animal
whole insect	Animal
wild caught drosophila melanogaster hemolymph	Animal
tick	Animal
tick on ceratotherium simum	Animal
tick removed while feeding from echidna (tachyglossi aculeatus)	Animal
tick tissue	Animal
waste mushroom compost	Animal
appendix	Animal
appendix tissue	Animal
oncorhynchus mykiss	Animal
oncorynchus kisutch	Animal
oncorynchus masou	Animal
oncorynchus tshawytscha	Animal
pacific oyster seed	Animal
pharyngeal mucosa	Animal
pharyngeal swab from oropharynx of a child	Animal
pharyngeal swabs	Animal
pharynx	Animal
pharynx of child	Animal
post-mortem samples of blood; liver; lungs; and spleen of a common otter	Animal
postoperative maxillary cyst	Animal
poultry carcass	Animal
poultry farm	Animal
poultry farm avifauna	Animal
poultry litter	Animal
preen gland	Animal
preen glands	Animal
pus	Animal
pus from a toe	Animal
rodent	Animal
sea snail	Animal
seashore	Animal
surface of the striped shore crab; pachygrapsus crassipes	Animal
surface wound of a diseased fine flounder; paralichthys adspersus	Animal
newt tank	Animal
2 mrad irradiated bombay duck	Animal
ant colony in branch	Animal
ant nest	Animal
ant nest on rock	Animal
aquaculture water for litopenaeus vannamei	Animal
aquaculture water for weever	Animal
aquaculture water of a shrimp farm	Animal
arm cellulitis	Animal
arm tissue	Animal
asian hornet vespa velutina	Animal
atlantic cod	Animal
biofilter; animal-rendering plant	Animal
bone misc	Animal
bone tissue	Animal
bottom of cage containing eurycantha calcarata insects indoors	Animal
breast specimens	Animal
captive penguin in the usa	Animal
captive seahorse with tail rot from a aquarium	Animal
captive tank for scyliorhinus torazame	Animal
chicken	Animal
chicken eggshell	Animal
chicken eggshell surface	Animal
chicken yard waste	Animal
chickens	Animal
choana	Animal
choana swab	Animal
choanae	Animal
choanae of a healthy eagle	Animal
chopped tuber	Animal
cicada slough enriched sample	Animal
clam; ruditapes decussatus	Animal
clinical specimen; blood	Animal
clinical; cystic fibrosis patient	Animal
cloaca	Animal
cloacae of healthy wild penguins (spheniscus magellanicus)	Animal
cloacal & blood material from turtle	Animal
cloacal swab	Animal
cocoon mucus of kanamycin treated earthworm	Animal
corneal ulcer	Animal
cow	Animal
cow shed [envo_00003041]	Animal
cow with mastitis	Animal
cow with pinkeye	Animal
cultivated mushroom (agaricus bisporus) sporophores	Animal
cultivated oysters	Animal
cystic fibrosis lung	Animal
cystic fibrosis patient	Animal
cystic fibrosis patients	Animal
damselfish skin ulcer	Animal
ectocervical mucosa	Animal
elba sip enrichment timepoints t2 and t3	Animal
electric organ of eel	Animal
enriched and purified from autopsy liver tissue	Animal
enriched sample of cicada slough	Animal
epidermal mucus of anguilla anguilla fishes in ebro delta	Animal
esophageal gland	Animal
esophagus aspirate	Animal
mixed culture 16-3462 from mycobacteria growth indicator tube inoculated with human sputum sample containing mycobacterium tuberculosis and branchiibius sp. ny16-3462-2	Animal
mosquito	Animal
sea squirt	Animal
sea squirt from the south sea at tongyeong; south korea	Animal
wedge-shells (donax trunculus)	Animal
whale bone on the intertidal seashore of punta plaza; antarctica	Animal
axillary lymph node	Animal
axillary-groin swab	Animal
bark beetle	Animal
biofilm from saint callistus roman catacombs	Animal
biopsy	Animal
biopsy middle ear	Animal
canis familiaris	Animal
cat fleas	Animal
catheterized bladder urine	Animal
cattail	Animal
cattle	Animal
cattle blood	Animal
chick trachea	Animal
clams	Animal
clinical isolate	Animal
clinical isolates from a korean pulmonary patient; male; 64 age; asan medical center	Animal
compost at a cattle farm	Animal
contaminated transfused red blood cell unit	Animal
crown gall	Animal
crown gall tumor tissue	Animal
csf or blood culture	Animal
fertilized egg	Animal
foot necrotic tissue	Animal
foot wound	Animal
golden sea squirt (halocynthia aurantium) was collected from the east sea at yangyang	Animal
golden sea squirt; halocynthia roretzi	Animal
gypsy moth larva	Animal
isolated from sea urchin collected from troitsa bay in the gulf of peter the great; east sea	Animal
isolated from the pharynx of a laboratory mouse (mus musculus)	Animal
wildlife recovery center	Animal
sediments in shrimp culture ponds	Animal
single-cell amplified by mda; isolated from a flagellate symbiont of the termite incisitermes marginipennis	Animal
submandibular wound of a 53-year-old man	Animal
bee	Animal
bee hive	Animal
cause of peritonitis	Animal
herring gull; cloacal swab	Animal
bombus pascuorum	Animal
bombus terrestris	Animal
carollia perspicillata	Animal
cerata	Animal
conjunctival swab	Animal
digital dermatitis lesion	Animal
external auditory meatus with external ear otitis	Animal
external lesions of diseased farmed murray cod	Animal
external muscle ulcerative lesions on the fishtail	Animal
water surrounding cultivated oysters; vinaroz	Animal
zoo composter number 3	Animal
zooplankton collected from plum island	Animal
turkey; respiratory tract; united kingdom	Animal
valvular endocarditis	Animal
vascular	Animal
wing	Animal
xenic protist cell culture	Animal
ileostomy effluent evening sample obtained from a 79 year-old male ileostomist plated on mitis-salivarius agar	Animal
internal organs of diseased fish	Animal
synovial fluid	Animal
synovial fluid of crocodile with polyarthritis	Animal
the blood culture and the peritoneal dialysis effluent of two patients	Animal
unknown human clinical source	Animal
wall of a tomb	Animal
zc4 (zoo composter number 4) at the sao paulo zoo	Animal
exoskeleton of ant	Animal
fasting seabass	Animal
female abdomens	Animal
glasses	Animal
insect on acer sp.	Animal
insect rearing in ebcl quarantine	Animal
laboratory algal culture of the dinoflagellate scrippsiella trochoidea ccap 1134/1	Animal
laboratory mosquito line (malaysian nuclear background)	Animal
liquid joint sample	Animal
liquid joint sample of pig	Animal
mahi mahi fish	Animal
mammary gland; supra mammary lymph node	Animal
orthopedic joint implant	Animal
paranasal sinuses of layer hens	Animal
profound head ulcers of farmed murray cod	Animal
red portion of the bacteriome from homalodisca coagulata adults collected in a lemon orchard	Animal
renal sac	Animal
renal sac of host	Animal
resected aortic valve tissue	Animal
rotifer aquaculture	Animal
rotifer from water	Animal
the cultured water of sick oysters	Animal
the screen of a cellular phone	Animal
the sea cucumber pool	Animal
single cell of braarudosphaera bigelowii	Animal
single-cell amplified by mda; shell-attached epibiont of snail collected from methane seep snail community; sample contaminated with other organisms due to its size (approx. 1mm to 2 microns)	Animal
sinus	Animal
sinus nasalis	Animal
small fly	Animal
subcutaneous granuloma	Animal
abalone haliotis discus hannai	Animal
amblyomma calabyi	Animal
amblyomma varanense ex. varanus salvator	Animal
anodonta arcaeformis	Animal
anopheles gambiae g3 adults	Animal
barn-yard manure	Animal
barnacle at wood pile-on	Animal
bedside rail in hospital icu	Animal
bodily fluid	Animal
chronic cutaneous abcess associated with osteitis; 05/06	Animal
chrysomya sp.	Animal
combination of male embryos and male adults collected in 2013 and 2015	Animal
commercial egg laying facility	Animal
common green bottle fly lucilia sericata	Animal
cuticle of a termite worker	Animal
cuticle of trachymyrmex smithi worker ant	Animal
cybister brevis	Animal
cybister lewisianus	Animal
dinoflagellate phycosphere	Animal
dinosaur fossil bone	Animal
diphtheritic lesion	Animal
emiliania huxleyi rcc1216 culture	Animal
equine fecal microbiome	Animal
equine placenta	Animal
from ant colony of camponotus vicinus; in rotten log.	Animal
from patients with mycetoma infections	Animal
from the respiratory tract of marmota himalayana	Animal
crassostrea gigas	Animal
crocidura suaveolens blood	Animal
cutaneous lesion	Animal
cuticle from social wasp	Animal
pearl-oyster culture pond	Animal
perineum swab	Animal
periodontal pocket	Animal
peritoneal dialysis fluid	Animal
peritoneal exudate	Animal
peritoneal fluid	Animal
peritoneal pseudomyxoma peritonei tumor	Animal
pleural fluid	Animal
pleural fluid from renal transplant patient	Animal
social spider nest material	Animal
styela clava	Animal
subacute conjunctivitis	Animal
subacute endocarditis	Animal
superficial abscess on skin; 12-year old ewe	Animal
superworm	Animal
symbiotic organs of the hepatic blasia pusilla l.	Animal
synovium	Animal
foulbrood of honeybees	Animal
hemocoel of heliothis virescens larva	Animal
hemolymph of ciona intestinalis	Animal
hepatopancreas of diseased shrimp	Animal
hepatopancreas of ems shrimp	Animal
high vaginal swab	Animal
primary hospital lab	Animal
gypsum liner walls of a childrens bedroom	Animal
haemodialysis water	Animal
haemolymph	Animal
haemolymph and muscle	Animal
intrauterine contraceptive device	Animal
ips acuminatus crashed beetle	Animal
lab reared ticks from oklahoma state university s tick rearing facility	Animal
acute necrotizing ulcerative gingivitis lesion	Animal
adenoid	Animal
amniotic fluid	Animal
ascites	Animal
bumblebee crop	Animal
contaminated tris acetate phosphate (tap) medium culture plate of the green micro-alga chlamydomonas reinhardtii strain lmj.ry0402.18514	Animal
granuloma	Animal
granulomatous skin lesions of moray eels	Animal
grey headed albatross	Animal
hospital nicu surfaces and sink samples	Animal
male patient with chronic granulomatous disease	Animal
mill creek	Animal
stork choana	Animal
insect collected from cytisus scoparius	Animal
archimandrita tessellata	Animal
ateles paniscus	Animal
brittle star	Animal
broiler leg	Animal
coelomic fluid of a sand dollar	Animal
cold room contaminant	Animal
copepod	Animal
empyema	Animal
endocarditis	Animal
endometrial sample	Animal
endometrium	Animal
